time,bitcoins
2011/5/29 0:00,6376200
2011/5/31 0:00,6391350
2011/6/2 0:00,6409750
2011/6/4 0:00,6430700
2011/6/6 0:00,6453600
2011/6/8 0:00,6471200
2011/6/10 0:00,6493100
2011/6/12 0:00,6516600
2011/6/14 0:00,6540100
2011/6/16 0:00,6564250
2011/6/18 0:00,6583350
2011/6/20 0:00,6605900
2011/6/22 0:00,6630950
2011/6/24 0:00,6654850
2011/6/26 0:00,6670150
2011/6/28 0:00,6685800
2011/6/30 0:00,6703700
2011/7/2 0:00,6721450
2011/7/4 0:00,6737650
2011/7/6 0:00,6753000
2011/7/8 0:00,6767150
2011/7/10 0:00,6782250
2011/7/12 0:00,6796900
2011/7/14 0:00,6813750
2011/7/16 0:00,6829750
2011/7/18 0:00,6845850
2011/7/20 0:00,6861200
2011/7/22 0:00,6876100
2011/7/24 0:00,6892150
2011/7/26 0:00,6908450
2011/7/28 0:00,6925800
2011/7/30 0:00,6941450
2011/8/1 0:00,6958600
2011/8/3 0:00,6973900
2011/8/5 0:00,6987450
2011/8/7 0:00,7000100
2011/8/9 0:00,7013200
2011/8/11 0:00,7028250
2011/8/13 0:00,7041500
2011/8/15 0:00,7054800
2011/8/17 0:00,7068000
2011/8/19 0:00,7082650
2011/8/21 0:00,7097150
2011/8/23 0:00,7114450
2011/8/25 0:00,7127400
2011/8/27 0:00,7141650
2011/8/29 0:00,7153600
2011/8/31 0:00,7168900
2011/9/2 0:00,7183350
2011/9/4 0:00,7196750
2011/9/6 0:00,7211950
2011/9/8 0:00,7225550
2011/9/10 0:00,7239700
2011/9/12 0:00,7253100
2011/9/14 0:00,7267500
2011/9/16 0:00,7281200
2011/9/18 0:00,7295700
2011/9/20 0:00,7308750
2011/9/22 0:00,7323650
2011/9/24 0:00,7336550
2011/9/26 0:00,7350500
2011/9/28 0:00,7363950
2011/9/30 0:00,7376800
2011/10/2 0:00,7390150
2011/10/4 0:00,7403150
2011/10/6 0:00,7416650
2011/10/8 0:00,7429500
2011/10/10 0:00,7441550
2011/10/12 0:00,7452800
2011/10/14 0:00,7464000
2011/10/16 0:00,7477200
2011/10/18 0:00,7489200
2011/10/20 0:00,7500950
2011/10/22 0:00,7512550
2011/10/24 0:00,7523950
2011/10/26 0:00,7535900
2011/10/28 0:00,7546750
2011/10/30 0:00,7557550
2011/11/1 0:00,7571700
2011/11/3 0:00,7585600
2011/11/5 0:00,7600250
2011/11/7 0:00,7614200
2011/11/9 0:00,7629400
2011/11/11 0:00,7642750
2011/11/13 0:00,7656850
2011/11/15 0:00,7672300
2011/11/17 0:00,7686200
2011/11/19 0:00,7699200
2011/11/21 0:00,7712350
2011/11/23 0:00,7725650
2011/11/25 0:00,7737750
2011/11/27 0:00,7749800
2011/11/29 0:00,7762950
2011/12/1 0:00,7779500
2011/12/3 0:00,7794850
2011/12/5 0:00,7809700
2011/12/7 0:00,7825000
2011/12/9 0:00,7840250
2011/12/11 0:00,7855350
2011/12/13 0:00,7868500
2011/12/15 0:00,7881850
2011/12/17 0:00,7895350
2011/12/19 0:00,7910250
2011/12/21 0:00,7924750
2011/12/23 0:00,7939250
2011/12/25 0:00,7954550
2011/12/27 0:00,7971100
2011/12/29 0:00,7985600
2011/12/31 0:00,8000050
2012/1/2 0:00,8015100
2012/1/4 0:00,8030900
2012/1/6 0:00,8046750
2012/1/8 0:00,8063850
2012/1/10 0:00,8079200
2012/1/12 0:00,8095100
2012/1/14 0:00,8109300
2012/1/16 0:00,8124600
2012/1/18 0:00,8139600
2012/1/20 0:00,8153300
2012/1/22 0:00,8168750
2012/1/24 0:00,8184050
2012/1/26 0:00,8198300
2012/1/28 0:00,8213000
2012/1/30 0:00,8229450
2012/2/1 0:00,8244100
2012/2/3 0:00,8260250
2012/2/5 0:00,8275250
2012/2/7 0:00,8289800
2012/2/9 0:00,8303600
